date,new_cases,new_deaths,stringency_index,government_response_index,containment_health_index,economic_support_index,reproduction_rate,icu_patients,hosp_patients,total_tests,new_tests,positive_rate,tests_per_case
2020/7/15,66028,965,68.98,64.84,65.18,62.5,1.13,9245,33759,50152881,1035631,0.103,9.7
2020/7/16,70815,961,68.98,64.84,65.18,62.5,1.11,9797,38537,51182208,1029327,0.101,9.9
2020/7/17,66472,915,68.98,64.84,65.18,62.5,1.09,10700,40060,52229913,1047705,0.101,9.9
2020/7/18,64322,882,68.98,64.84,65.18,62.5,1.09,10963,40375,53142570,912657,0.1,10
2020/7/19,58932,476,68.98,64.84,65.18,62.5,1.08,10271,37900,53861022,718452,0.098,10.2
2020/7/20,60663,529,67.13,63.8,63.99,62.5,1.08,11291,41140,54768827,907805,0.098,10.2
2020/7/21,68194,1096,67.13,63.8,63.99,62.5,1.07,11458,42195,55805497,1036670,0.097,10.3
2020/7/22,67546,1225,67.13,63.8,63.99,62.5,1.05,12487,46107,56915569,1110072,0.096,10.4
2020/7/23,67887,1086,67.13,63.8,63.99,62.5,1.04,13912,47824,57999882,1084313,0.095,10.5
2020/7/24,75147,1094,67.13,63.8,63.99,62.5,1.03,13623,46738,59074853,1074971,0.093,10.8
2020/7/25,64201,969,67.13,63.8,63.99,62.5,1.02,14398,51819,59957044,882191,0.093,10.8
2020/7/26,55840,534,67.13,63.8,63.99,62.5,1.01,12403,43375,60634911,677867,0.093,10.8
2020/7/27,59724,1100,67.13,63.8,63.99,62.5,1.01,14230,47165,61432915,798004,0.091,11
2020/7/28,64830,1222,67.13,63.8,63.99,62.5,0.99,14578,48110,62401440,968525,0.09,11.1
2020/7/29,64128,1440,67.13,63.8,63.99,62.5,0.98,14021,45613,63442320,1040880,0.088,11.4
2020/7/30,69244,1289,67.13,63.8,63.99,62.5,0.96,14653,46830,64480892,1038572,0.088,11.4
2020/7/31,64576,1183,67.13,63.8,63.99,62.5,0.94,14603,46150,65471833,990941,0.086,11.6
2020/8/1,57580,1119,67.13,63.8,63.99,62.5,0.93,14400,50417,66264792,792959,0.084,11.9
2020/8/2,47109,457,67.13,63.8,63.99,62.5,0.93,14053,50236,66889299,624507,0.083,12
2020/8/3,41686,559,67.13,63.8,63.99,62.5,0.93,14245,45290,67666629,777330,0.082,12.2
2020/8/4,61658,1255,67.13,63.8,63.99,62.5,0.94,14116,45133,68550840,884211,0.081,12.3
2020/8/5,54349,1408,67.13,63.8,63.99,62.5,0.94,14059,44661,69516704,965864,0.079,12.7
2020/8/6,60180,1181,67.13,63.8,63.99,62.5,0.95,13885,43890,70507696,990992,0.076,13.2
2020/8/7,60587,1291,67.13,63.8,63.99,62.5,0.96,13769,43209,71523759,1016063,0.075,13.3
2020/8/8,63933,1087,67.13,63.8,63.99,62.5,0.97,13358,41590,72339667,815908,0.073,13.7
2020/8/9,54267,572,67.13,63.8,63.99,62.5,0.98,13163,41479,72966403,626736,0.073,13.7
2020/8/10,51617,517,67.13,63.8,63.99,62.5,0.97,13181,42068,73751800,785397,0.071,14.1
2020/8/11,56956,1097,67.13,63.8,63.99,62.5,0.95,13058,41642,74661344,909544,0.07,14.3
2020/8/12,55245,1515,67.13,63.8,63.99,62.5,0.94,12868,41816,75689922,1028578,0.068,14.7
2020/8/13,51657,1038,67.13,63.8,63.99,62.5,0.92,12677,41240,76670524,980602,0.067,14.9
2020/8/14,70125,1309,67.13,63.8,63.99,62.5,0.92,12512,39980,77632375,961851,0.065,15.4
2020/8/15,52396,1045,67.13,63.8,63.99,62.5,0.89,12246,38699,78400269,767894,0.064,15.6
2020/8/16,34662,608,67.13,63.8,63.99,62.5,0.88,11991,38850,78973222,572953,0.063,15.9
2020/8/17,37849,469,67.13,63.8,63.99,62.5,0.87,11967,39032,79650289,677067,0.063,15.9
2020/8/18,44902,1225,67.13,63.8,63.99,62.5,0.86,11958,38897,80546064,895775,0.061,16.4
2020/8/19,45884,689,67.13,63.8,63.99,62.5,0.86,11571,38002,81551369,1005305,0.06,16.7
2020/8/20,45131,1100,67.13,63.8,63.99,62.5,0.86,11263,37321,82548374,997005,0.059,16.9
2020/8/21,47591,1092,67.13,63.8,63.99,62.5,0.86,11031,35989,83514154,965780,0.058,17.2
2020/8/22,45675,966,67.13,63.8,63.99,62.5,0.87,10779,34888,84308663,794509,0.057,17.5
2020/8/23,31911,495,67.13,63.8,63.99,62.5,0.88,10738,34609,84870759,562096,0.057,17.5
2020/8/24,33923,423,67.13,63.8,63.99,62.5,0.9,10691,34791,85537791,667032,0.056,17.9
2020/8/25,42674,1226,67.13,63.8,63.99,62.5,0.91,10603,34479,86444051,906260,0.056,17.9
2020/8/26,42075,1157,67.13,63.8,63.99,62.5,0.92,10383,33624,87462268,1018217,0.056,17.9
2020/8/27,50518,1099,67.13,63.8,63.99,62.5,0.93,9905,33285,88483291,1021023,0.056,17.9
2020/8/28,46471,928,67.13,63.8,63.99,62.5,0.93,9883,31898,89470835,987544,0.056,17.9
2020/8/29,43101,976,67.13,63.8,63.99,62.5,0.93,9697,31178,90269459,798624,0.055,18.2
2020/8/30,34131,440,67.13,63.8,63.99,62.5,0.94,9549,31075,90884339,614880,0.055,18.2
2020/8/31,33363,485,67.13,63.8,63.99,62.5,0.94,9509,31395,91546260,661921,0.055,18.2
2020/9/1,41978,1062,67.13,63.8,63.99,62.5,0.95,9472,31118,92454310,908050,0.055,18.2
2020/9/2,39961,1059,67.13,63.8,63.99,62.5,0.94,9362,30827,93482064,1027754,0.054,18.5
2020/9/3,45141,1017,67.13,63.8,63.99,62.5,0.94,9233,30297,94515298,1033234,0.054,18.5
2020/9/4,48336,963,67.13,63.8,63.99,62.5,0.93,9228,29879,95515291,999993,0.053,18.9
2020/9/5,43625,805,67.13,63.8,63.99,62.5,0.92,9091,28845,96332219,816928,0.052,19.2
2020/9/6,29119,434,67.13,63.8,63.99,62.5,0.9,9010,28369,96898257,566038,0.052,19.2
2020/9/7,24563,317,67.13,63.8,63.99,62.5,0.89,8974,28589,97313478,415221,0.052,19.2
2020/9/8,26747,465,67.13,63.8,63.99,62.5,0.9,8971,28952,97977893,664415,0.051,19.6
2020/9/9,33638,1102,67.13,63.8,63.99,62.5,0.93,8784,28775,98937536,959643,0.05,20
2020/9/10,39448,906,67.13,63.8,63.99,62.5,0.96,8590,28066,100026119,1088583,0.049,20.4
2020/9/11,44623,1148,67.13,63.8,63.99,62.5,1,8529,27368,101127041,1100922,0.047,21.3
2020/9/12,45584,735,62.5,61.2,61.01,62.5,1.02,8308,26496,101993254,866213,0.047,21.3
2020/9/13,40292,391,62.5,61.2,61.01,62.5,1.04,8261,26329,102621545,628291,0.047,21.3
2020/9/14,32565,419,62.5,61.2,61.01,62.5,1.04,8264,26787,103330673,709128,0.046,21.7
2020/9/15,37178,1198,62.5,61.2,61.01,62.5,1.04,8158,26934,104298662,967989,0.046,21.7
2020/9/16,38292,937,62.5,61.2,61.01,62.5,1.04,8074,26372,105438930,1140268,0.046,21.7
2020/9/17,45318,855,62.5,61.98,61.9,62.5,1.04,8025,26085,106597420,1158490,0.046,21.7
2020/9/18,50186,956,62.5,61.98,61.9,62.5,1.05,7970,25833,107827561,1230141,0.046,21.7
2020/9/19,45777,695,62.5,61.98,61.9,62.5,1.05,7833,25481,108766635,939074,0.045,22.2
2020/9/20,41610,259,62.5,61.98,61.9,62.5,1.05,7840,25543,109391215,624580,0.045,22.2
2020/9/21,32044,406,62.5,61.98,61.9,62.5,1.03,7856,26379,110142071,750856,0.046,21.7
2020/9/22,38272,1026,62.5,61.98,61.9,62.5,1.03,7862,26440,111172372,1030301,0.046,21.7
2020/9/23,41119,1047,62.5,61.98,61.9,62.5,1.03,7861,26483,112378065,1205693,0.046,21.7
2020/9/24,48881,895,62.5,61.98,61.9,62.5,1.02,7830,26406,113581273,1203208,0.046,21.7
2020/9/25,47137,909,62.5,61.98,61.9,62.5,1.02,7813,26274,114711867,1130594,0.046,21.7
2020/9/26,43548,772,62.5,61.98,61.9,62.5,1.02,7796,25903,115651418,939551,0.047,21.3
2020/9/27,33779,302,62.5,61.98,61.9,62.5,1.02,8067,25970,116249061,597643,0.047,21.3
2020/9/28,37740,334,62.5,61.98,61.9,62.5,1.03,7915,27021,116917417,668356,0.048,20.8
2020/9/29,42034,895,62.5,61.98,61.9,62.5,1.03,8043,27506,117902507,985090,0.048,20.8
2020/9/30,38633,907,62.5,61.98,61.9,62.5,1.03,8070,27668,119104048,1201541,0.048,20.8
2020/10/1,46246,897,62.5,61.98,61.9,62.5,1.03,8005,27477,120329347,1225299,0.048,20.8
2020/10/2,53445,835,62.5,61.98,61.9,62.5,1.05,7957,27408,121522101,1192754,0.049,20.4
2020/10/3,49280,671,62.5,61.98,61.9,62.5,1.06,7964,27271,122498585,976484,0.048,20.8
2020/10/4,33131,369,62.5,61.98,61.9,62.5,1.06,8119,27871,123140047,641462,0.048,20.8
2020/10/5,37358,470,62.5,61.98,61.9,62.5,1.07,8332,28956,123947919,807872,0.048,20.8
2020/10/6,44546,696,62.5,61.98,61.9,62.5,1.09,8569,29999,125176001,1228082,0.048,20.8
2020/10/7,49138,905,62.5,61.98,61.9,62.5,1.1,8638,30542,126590142,1414141,0.048,20.8
2020/10/8,57891,977,62.5,61.98,61.9,62.5,1.11,8624,31014,128025089,1434947,0.048,20.8
2020/10/9,55080,967,62.5,61.98,61.9,62.5,1.11,8723,31206,129427476,1402387,0.048,20.8
2020/10/10,55368,653,62.5,61.98,61.9,62.5,1.12,8730,30982,130534025,1106549,0.049,20.4
2020/10/11,46900,457,62.5,61.98,61.9,62.5,1.12,8819,31430,131282117,748092,0.05,20
2020/10/12,42082,390,62.5,61.98,61.9,62.5,1.12,9047,32758,132093166,811049,0.052,19.2
2020/10/13,50124,772,66.2,64.06,64.29,62.5,1.13,9411,33506,133158979,1065813,0.053,18.9
2020/10/14,58442,989,66.2,64.06,64.29,62.5,1.14,9303,33935,134391656,1232677,0.055,18.2
2020/10/15,63537,828,66.2,64.06,64.29,62.5,1.15,9478,34387,135698294,1306638,0.057,17.5
2020/10/16,70175,926,66.2,64.06,64.29,62.5,1.15,9538,34639,137030146,1331852,0.058,17.2
2020/10/17,54832,809,66.2,64.06,64.29,62.5,1.15,9516,34319,138150933,1120787,0.058,17.2
2020/10/18,52173,458,66.2,64.06,64.29,62.5,1.17,9725,35012,138921991,771058,0.059,16.9
2020/10/19,67884,479,66.2,64.06,64.29,62.5,1.18,10075,36431,139798235,876244,0.059,16.9
2020/10/20,61740,933,66.2,64.06,64.29,62.5,1.17,10215,37411,141076321,1278086,0.06,16.7
2020/10/21,60706,1157,66.2,64.06,64.29,62.5,1.17,10437,38114,142557124,1480803,0.06,16.7
2020/10/22,79621,838,66.2,64.06,64.29,62.5,1.18,10650,38848,144090776,1533652,0.061,16.4
2020/10/23,81662,945,66.2,64.06,64.29,62.5,1.18,10711,39075,145557421,1466645,0.063,15.9
2020/10/24,78376,960,66.2,64.06,64.29,62.5,1.18,10712,39345,146737687,1180266,0.064,15.6
2020/10/25,60975,445,66.2,64.06,64.29,62.5,1.18,10853,39984,147531871,794184,0.066,15.2
2020/10/26,64564,514,62.5,61.98,61.9,62.5,1.18,11110,41328,148486988,955117,0.067,14.9
2020/10/27,77224,1007,62.5,61.98,61.9,62.5,1.19,11431,42272,149827870,1340882,0.068,14.7
2020/10/28,86476,1010,62.5,61.98,61.9,62.5,1.2,11649,43442,151332618,1504748,0.069,14.5
2020/10/29,91293,988,62.5,61.98,61.9,62.5,1.21,11826,44168,152819233,1486615,0.071,14.1
2020/10/30,99849,1055,62.5,61.98,61.9,62.5,1.21,11854,45113,154321492,1502259,0.073,13.7
2020/10/31,87343,923,62.5,61.98,61.9,62.5,1.22,11887,45086,155542204,1220712,0.074,13.5
2020/11/1,77830,489,62.5,61.98,61.9,62.5,1.23,12131,46086,156442048,899844,0.075,13.3
2020/11/2,81808,554,62.5,61.98,61.9,62.5,1.25,12594,47971,157459239,1017191,0.077,13
2020/11/3,124767,1595,62.5,61.98,61.9,62.5,1.28,12928,49105,158824372,1365133,0.08,12.5
2020/11/4,100264,1108,62.5,61.98,61.9,62.5,1.27,13003,50465,160457504,1633132,0.083,12
2020/11/5,128081,1159,62.5,61.98,61.9,62.5,1.28,13228,51785,162154212,1696708,0.086,11.6
2020/11/6,127058,1206,62.5,61.98,61.9,62.5,1.27,13357,52838,163832259,1678047,0.089,11.2
2020/11/7,127065,1107,62.5,61.98,61.9,62.5,1.28,13479,53817,165288664,1456405,0.091,11
2020/11/8,119674,553,62.5,61.98,61.9,62.5,1.28,14008,55711,166300083,1011419,0.094,10.6
2020/11/9,116956,758,65.28,63.54,63.69,62.5,1.27,14409,58481,167524511,1224428,0.097,10.3
2020/11/10,136555,1408,65.28,63.54,63.69,62.5,1.27,14835,61415,169063956,1539445,0.1,10
2020/11/11,147683,1422,65.28,63.54,63.69,62.5,1.27,15116,63329,170855761,1791805,0.104,9.6
2020/11/12,158797,1195,65.28,63.54,63.69,62.5,1.27,15594,65214,172709955,1854194,0.106,9.4
2020/11/13,179518,1195,65.28,63.54,63.69,62.5,1.26,15861,66093,174615139,1905184,0.108,9.3
2020/11/14,164050,1360,65.28,63.54,63.69,62.5,1.25,16238,67215,176213854,1598715,0.109,9.2
2020/11/15,139717,767,65.28,63.54,63.69,62.5,1.23,16808,69513,177411554,1197700,0.109,9.2
2020/11/16,153087,814,75.46,69.27,70.24,62.5,1.22,17538,73098,178904101,1492547,0.108,9.3
2020/11/17,164646,1702,75.46,69.27,70.24,62.5,1.2,18088,75496,180809930,1905829,0.107,9.3
2020/11/18,171969,1918,75.46,69.27,70.24,62.5,1.19,18331,77317,182909659,2099729,0.105,9.5
2020/11/19,192303,2029,75.46,69.27,70.24,62.5,1.18,18742,78341,184986695,2077036,0.104,9.6
2020/11/20,201667,1935,75.46,69.27,70.24,62.5,1.16,18916,79734,187137979,2151284,0.103,9.7
2020/11/21,179821,1637,75.46,69.27,70.24,62.5,1.14,19091,79858,188995532,1857553,0.102,9.8
2020/11/22,146587,1051,75.46,69.27,70.24,62.5,1.12,19658,81792,190418178,1422646,0.101,9.9
2020/11/23,181511,1065,75.46,69.27,70.24,62.5,1.1,20176,84173,192092218,1674040,0.1,10
2020/11/24,173562,2132,75.46,69.27,70.24,62.5,1.07,20572,86039,194064936,1972718,0.099,10.1
2020/11/25,180214,2236,75.46,69.27,70.24,62.5,1.05,20831,87121,196290885,2225949,0.099,10.1
2020/11/26,117250,1403,75.46,69.27,70.24,62.5,1.03,21025,86550,197797398,1506513,0.099,10.1
2020/11/27,214637,1544,75.46,69.27,70.24,62.5,1.04,21327,88100,199309931,1512533,0.101,9.9
2020/11/28,168226,1349,75.46,69.27,70.24,62.5,1.05,21483,89600,200658552,1348621,0.104,9.6
2020/11/29,140344,1035,75.46,69.27,70.24,62.5,1.07,21919,92448,201810467,1151915,0.107,9.3
2020/11/30,154918,1309,75.46,69.27,70.24,62.5,1.08,22500,95095,203276058,1465591,0.11,9.1
2020/12/1,197116,2547,75.46,69.27,70.24,62.5,1.11,22868,96673,205120208,1844150,0.113,8.8
2020/12/2,196165,2810,71.76,67.19,67.86,62.5,1.12,22962,97838,207219734,2099526,0.118,8.5
2020/12/3,220231,2947,71.76,67.19,67.86,62.5,1.14,23043,97849,209368251,2148517,0.12,8.3
2020/12/4,235375,2608,71.76,67.19,67.86,62.5,1.14,23123,98140,211487139,2118888,0.12,8.3
2020/12/5,222009,2382,71.76,67.19,67.86,62.5,1.14,23172,97246,213179320,1692181,0.12,8.3
2020/12/6,179327,1389,71.76,67.19,67.86,62.5,1.13,23435,98653,214472424,1293104,0.12,8.3
2020/12/7,195461,1558,71.76,67.19,67.86,62.5,1.12,23892,101027,216013405,1540981,0.119,8.4
2020/12/8,227057,2573,71.76,67.19,67.86,62.5,1.11,24197,102304,217929253,1915848,0.119,8.4
2020/12/9,216015,3163,71.76,67.19,67.86,62.5,1.1,24612,104371,220054578,2125325,0.118,8.5
2020/12/10,236944,2977,71.76,67.19,67.86,62.5,1.09,24636,105048,222237193,2182615,0.117,8.5
2020/12/11,238910,3369,71.76,67.19,67.86,62.5,1.08,24747,105653,224294518,2057325,0.117,8.5
2020/12/12,224534,2524,71.76,67.19,67.86,62.5,1.08,24634,105358,226017479,1722961,0.118,8.5
2020/12/13,191597,1654,71.76,67.19,67.86,62.5,1.07,25074,107402,227266943,1249464,0.118,8.5
2020/12/14,209840,1645,71.76,68.44,69.29,62.5,1.07,25560,109689,228761798,1494855,0.119,8.4
2020/12/15,226316,2966,71.76,68.44,69.29,62.5,1.05,25812,110996,230708142,1946344,0.12,8.3
2020/12/16,234809,3722,71.76,68.44,69.29,62.5,1.04,25974,112009,232786054,2077912,0.12,8.3
2020/12/17,240252,3445,71.76,68.44,69.29,62.5,1.03,25894,112445,234839320,2053266,0.12,8.3
2020/12/18,247951,2930,71.76,68.44,69.29,62.5,1.02,25950,112114,236861985,2022665,0.121,8.3
2020/12/19,205851,2804,71.76,68.44,69.29,62.5,1,25801,111037,238574032,1712047,0.12,8.3
2020/12/20,187197,1702,71.76,68.44,69.29,62.5,0.99,26057,112401,239851288,1277256,0.119,8.4
2020/12/21,196860,1792,71.76,68.44,69.29,62.5,0.98,26431,114648,241380708,1529420,0.119,8.4
2020/12/22,205936,3292,71.76,68.44,69.29,62.5,0.96,26730,117527,243369325,1988617,0.118,8.5
2020/12/23,221440,3370,71.76,68.44,69.29,62.5,0.94,26928,118105,245650233,2280908,0.117,8.5
2020/12/24,212947,2914,71.76,68.44,69.29,62.5,0.92,26714,116273,247542242,1892009,0.117,8.5
2020/12/25,127172,1510,71.76,68.44,69.29,62.5,0.91,26559,113495,248620380,1078138,0.119,8.4
2020/12/26,217438,1908,71.76,68.44,69.29,62.5,0.94,26734,115520,249614899,994519,0.122,8.2
2020/12/27,135956,1431,71.76,68.44,69.29,62.5,0.96,27063,118987,250565019,950120,0.124,8.1
2020/12/28,173302,1866,71.76,68.44,69.29,62.5,1,27519,121424,251874994,1309975,0.128,7.8
2020/12/29,205978,3611,71.76,68.44,69.29,62.5,1.04,27782,122664,253762654,1887660,0.134,7.5
2020/12/30,218293,3904,71.76,68.44,69.29,62.5,1.07,27697,123921,255955329,2192675,0.141,7.1
2020/12/31,315084,3311,71.76,68.44,69.29,62.5,1.09,27748,123346,257880022,1924693,0.146,6.8
2021/1/1,178908,2242,71.76,68.44,69.29,62.5,1.08,27471,121053,259136267,1256245,0.149,6.7
2021/1/2,272281,2540,71.76,68.44,69.29,62.5,1.09,27614,122668,260255108,1118841,0.15,6.7
2021/1/3,203391,1423,71.76,68.44,69.29,62.5,1.09,28006,125595,261307214,1052106,0.15,6.7
2021/1/4,185516,1973,71.76,68.44,69.29,62.5,1.09,28266,127426,262716695,1409481,0.15,6.7
2021/1/5,232864,3594,71.76,68.44,69.29,62.5,1.1,28528,128858,264690932,1974237,0.149,6.7
2021/1/6,259760,3910,71.76,68.44,69.29,62.5,1.1,28608,129805,267030557,2339625,0.147,6.8
2021/1/7,286254,4013,71.76,68.44,69.29,62.5,1.1,28491,128819,269292959,2262402,0.144,6.9
2021/1/8,304077,4178,71.76,68.44,69.29,62.5,1.09,28365,127893,271445755,2152796,0.14,7.1
2021/1/9,264752,3235,71.76,68.44,69.29,62.5,1.06,28187,126426,273165972,1720217,0.137,7.3
2021/1/10,210849,2088,71.76,68.44,69.29,62.5,1.03,28370,126538,274336360,1170388,0.135,7.4
2021/1/11,203969,1834,71.76,68.44,69.29,62.5,1.01,28739,127639,275868008,1531648,0.132,7.6
2021/1/12,221814,4368,71.76,68.44,69.29,62.5,0.98,28891,127090,277906133,2038125,0.128,7.8
2021/1/13,229344,4012,71.76,68.44,69.29,62.5,0.95,28734,126585,280025274,2119141,0.124,8.1
2021/1/14,235581,3776,71.76,68.44,69.29,62.5,0.93,28527,133268,282116554,2091280,0.12,8.3
2021/1/15,244997,3808,71.76,68.44,69.29,62.5,0.92,28422,123790,284167372,2050818,0.118,8.5
2021/1/16,217683,3561,71.76,68.44,69.29,62.5,0.9,28120,121139,285765692,1598320,0.115,8.7
2021/1/17,176559,1987,71.76,68.44,69.29,62.5,0.88,27891,120835,286843440,1077748,0.114,8.8
2021/1/18,140826,1561,71.76,68.44,69.29,62.5,0.86,27831,120422,288139666,1296226,0.112,8.9
2021/1/19,156901,2389,71.76,68.44,69.29,62.5,0.85,27584,119383,289958135,1818469,0.11,9.1
2021/1/20,187397,4431,71.76,68.44,69.29,62.5,0.85,27003,117143,292102788,2144653,0.107,9.3
2021/1/21,192561,4118,71.76,68.44,69.29,62.5,0.85,26517,114100,294171480,2068692,0.104,9.6
2021/1/22,191775,3776,71.76,68.44,69.29,62.5,0.85,26006,111835,296110480,1939000,0.101,9.9
2021/1/23,178181,3534,71.76,68.44,69.29,62.5,0.85,25364,108126,297665995,1555515,0.099,10.1
2021/1/24,140143,1842,71.76,68.44,69.29,62.5,0.85,25121,107008,298674979,1008984,0.098,10.2
2021/1/25,129602,1763,71.76,68.44,69.29,62.5,0.85,25003,106268,299918330,1243351,0.097,10.3
2021/1/26,151010,3971,71.76,68.44,69.29,62.5,0.85,24897,104627,301713041,1794711,0.095,10.5
2021/1/27,155456,4112,71.76,68.44,69.29,62.5,0.84,24360,102664,303791619,2078578,0.092,10.9
2021/1/28,166765,3827,71.76,68.44,69.29,62.5,0.84,23786,100052,305711407,1919788,0.09,11.1
2021/1/29,163738,3577,71.76,68.44,69.29,62.5,0.84,23121,96111,307568742,1857335,0.089,11.2
2021/1/30,150937,2870,71.76,68.44,69.29,62.5,0.84,22708,92548,309017198,1448456,0.087,11.5
2021/1/31,112855,1943,71.76,68.44,69.29,62.5,0.83,22503,91438,309969140,951942,0.086,11.6
2021/2/1,125321,1768,71.76,68.44,69.29,62.5,0.83,22230,90582,311007904,1038764,0.084,11.9
2021/2/2,117030,3523,71.76,68.44,69.29,62.5,0.81,21767,89004,312649416,1641512,0.082,12.2
